===== 地面终端经纬度分组记录 =====
总分组数: 4

--- 节点3 终端分组 ---
终端数量: 250
经纬度列表:
  终端1: 经度=121.473700, 纬度=31.230400
  终端67: 经度=-21.832482, 纬度=-23.652591
  终端68: 经度=-50.464063, 纬度=37.557850
  终端69: 经度=165.120399, 纬度=-39.982358
  终端70: 经度=-159.169780, 纬度=-32.647330
  终端71: 经度=-49.484100, 纬度=-21.977859
  终端72: 经度=77.172005, 纬度=49.705276
  终端73: 经度=130.870307, 纬度=8.060026
  终端74: 经度=58.675344, 纬度=-27.027194
  终端75: 经度=-173.112286, 纬度=5.985569
  终端76: 经度=-12.014596, 纬度=-27.762699
  终端77: 经度=1.813239, 纬度=-29.331223
  终端78: 经度=-97.902500, 纬度=-45.718354
  终端79: 经度=95.418319, 纬度=-5.342821
  终端80: 经度=145.535177, 纬度=14.823161
  终端81: 经度=-32.604494, 纬度=-24.895548
  终端82: 经度=146.171273, 纬度=41.884739
  终端83: 经度=134.608577, 纬度=3.358592
  终端84: 经度=-124.841474, 纬度=-9.042729
  终端85: 经度=106.332044, 纬度=-11.163941
  终端86: 经度=14.112287, 纬度=-45.384790
  终端87: 经度=-56.017197, 纬度=-32.745027
  终端88: 经度=83.582618, 纬度=34.886837
  终端89: 经度=-8.232307, 纬度=11.969431
  终端90: 经度=-3.017123, 纬度=29.783558
  终端91: 经度=178.719281, 纬度=3.382222
  终端92: 经度=88.159621, 纬度=-0.688235
  终端93: 经度=-111.886559, 纬度=37.856680
  终端94: 经度=147.709967, 纬度=-6.555567
  终端95: 经度=-106.992495, 纬度=53.373778
  终端96: 经度=-117.944866, 纬度=3.807917
  终端97: 经度=150.146439, 纬度=50.488635
  终端98: 经度=18.219268, 纬度=10.055762
  终端99: 经度=115.195994, 纬度=25.057794
  终端100: 经度=-84.605591, 纬度=50.630688
  终端101: 经度=20.634489, 纬度=-19.445025
  终端102: 经度=-90.721992, 纬度=51.861628
  终端103: 经度=81.052991, 纬度=52.763157
  终端104: 经度=133.580467, 纬度=46.512086
  终端105: 经度=-139.505977, 纬度=-32.691294
  终端106: 经度=19.631001, 纬度=-10.206868
  终端107: 经度=-156.539738, 纬度=-49.596102
  终端108: 经度=0.683183, 纬度=35.355022
  终端109: 经度=-64.205326, 纬度=-55.965179
  终端110: 经度=-102.663580, 纬度=-10.348335
  终端111: 经度=-65.766017, 纬度=-59.780440
  终端112: 经度=-84.180631, 纬度=41.283080
  终端113: 经度=43.624094, 纬度=-56.295209
  终端114: 经度=-8.050582, 纬度=-35.955818
  终端115: 经度=-29.270254, 纬度=-8.192737
  终端116: 经度=-44.160611, 纬度=28.566144
  终端117: 经度=-1.427804, 纬度=-15.804728
  终端118: 经度=103.018313, 纬度=-56.269100
  终端119: 经度=-126.030389, 纬度=-38.455827
  终端120: 经度=77.928924, 纬度=0.055011
  终端121: 经度=97.268158, 纬度=-28.593629
  终端122: 经度=-85.688841, 纬度=-18.560985
  终端123: 经度=157.317205, 纬度=-32.973756
  终端124: 经度=131.861158, 纬度=55.272346
  终端125: 经度=137.032202, 纬度=22.812800
  终端126: 经度=100.265428, 纬度=44.197029
  终端127: 经度=-96.520170, 纬度=-50.255973
  终端128: 经度=57.179165, 纬度=35.009325
  终端129: 经度=-145.902766, 纬度=0.000516
  终端130: 经度=86.774192, 纬度=57.965838
  终端131: 经度=-113.438594, 纬度=23.979784
  终端132: 经度=-39.328641, 纬度=-17.019460
  终端133: 经度=105.932191, 纬度=-40.181026
  终端134: 经度=-48.475560, 纬度=-45.387179
  终端135: 经度=75.113117, 纬度=9.369622
  终端136: 经度=44.770590, 纬度=5.607546
  终端137: 经度=-83.989096, 纬度=-41.901045
  终端138: 经度=-11.569229, 纬度=-55.759131
  终端139: 经度=6.607177, 纬度=-49.671127
  终端140: 经度=-24.111116, 纬度=-27.202338
  终端141: 经度=177.885302, 纬度=26.653002
  终端142: 经度=-105.363152, 纬度=58.462214
  终端143: 经度=52.106950, 纬度=-43.234957
  终端144: 经度=-2.973908, 纬度=20.766379
  终端145: 经度=-81.408933, 纬度=-0.106420
  终端146: 经度=174.967178, 纬度=8.811606
  终端147: 经度=-48.588022, 纬度=-56.274091
  终端148: 经度=145.243787, 纬度=36.495608
  终端149: 经度=138.769333, 纬度=-38.305678
  终端150: 经度=17.659533, 纬度=-54.052917
  终端151: 经度=-131.526444, 纬度=-5.841625
  终端152: 经度=-64.026837, 纬度=-22.951533
  终端153: 经度=40.848886, 纬度=-46.227855
  终端154: 经度=-175.260080, 纬度=59.052622
  终端155: 经度=117.390242, 纬度=26.328167
  终端156: 经度=-137.554485, 纬度=34.814582
  终端157: 经度=62.469334, 纬度=-6.017751
  终端158: 经度=-30.382298, 纬度=-49.618750
  终端159: 经度=65.845074, 纬度=-6.985876
  终端160: 经度=-150.711651, 纬度=-42.448070
  终端161: 经度=-28.952343, 纬度=58.952012
  终端162: 经度=175.709496, 纬度=7.545713
  终端163: 经度=68.653912, 纬度=-53.283565
  终端164: 经度=42.967058, 纬度=-24.078176
  终端165: 经度=-120.872525, 纬度=49.628032
  终端166: 经度=-35.863844, 纬度=-31.851434
  终端167: 经度=144.918633, 纬度=-9.955004
  终端168: 经度=31.606191, 纬度=-32.230856
  终端169: 经度=166.957433, 纬度=25.050700
  终端170: 经度=-117.956061, 纬度=-47.828679
  终端171: 经度=-119.111829, 纬度=50.102943
  终端172: 经度=-23.290388, 纬度=-8.399549
  终端173: 经度=-102.962687, 纬度=43.683370
  终端174: 经度=-7.943879, 纬度=5.901443
  终端175: 经度=-111.043668, 纬度=-15.861439
  终端176: 经度=-133.559008, 纬度=49.073303
  终端177: 经度=168.236421, 纬度=-58.582811
  终端178: 经度=-108.218393, 纬度=-45.400375
  终端179: 经度=-131.713219, 纬度=-53.242755
  终端180: 经度=-175.579774, 纬度=-37.457674
  终端181: 经度=143.991091, 纬度=-48.569819
  终端182: 经度=-10.521488, 纬度=-58.963548
  终端183: 经度=52.398762, 纬度=8.801971
  终端184: 经度=10.724431, 纬度=55.441953
  终端185: 经度=-175.657794, 纬度=-15.829638
  终端186: 经度=153.849236, 纬度=-33.432568
  终端187: 经度=112.900019, 纬度=-49.396492
  终端188: 经度=61.080178, 纬度=-6.079576
  终端189: 经度=134.398354, 纬度=-57.391381
  终端190: 经度=-51.854387, 纬度=-40.184092
  终端191: 经度=-67.378293, 纬度=-9.767083
  终端192: 经度=-89.215446, 纬度=-28.576056
  终端193: 经度=-28.869496, 纬度=15.843979
  终端194: 经度=81.339439, 纬度=-19.628123
  终端195: 经度=102.609354, 纬度=-48.745001
  终端196: 经度=148.689859, 纬度=36.044708
  终端197: 经度=-93.931291, 纬度=-13.686495
  终端198: 经度=-58.762142, 纬度=-20.680729
  终端199: 经度=88.607348, 纬度=32.335889
  终端200: 经度=122.098343, 纬度=-51.478431
  终端201: 经度=65.650580, 纬度=-39.698274
  终端202: 经度=137.332418, 纬度=-58.252958
  终端203: 经度=-56.892383, 纬度=23.268176
  终端204: 经度=-0.328846, 纬度=0.558055
  终端205: 经度=-37.243301, 纬度=1.006893
  终端206: 经度=-76.035200, 纬度=27.306692
  终端207: 经度=13.136077, 纬度=-52.835223
  终端208: 经度=-110.461947, 纬度=-43.192967
  终端209: 经度=-105.067170, 纬度=40.603438
  终端210: 经度=74.108896, 纬度=19.081514
  终端211: 经度=145.361789, 纬度=-29.581211
  终端212: 经度=64.181260, 纬度=26.293968
  终端213: 经度=63.532903, 纬度=5.997059
  终端214: 经度=-136.553771, 纬度=32.921867
  终端215: 经度=49.606100, 纬度=10.596135
  终端216: 经度=-81.659590, 纬度=-57.125011
  终端217: 经度=68.596977, 纬度=22.341879
  终端218: 经度=-87.493373, 纬度=-32.571136
  终端219: 经度=47.362651, 纬度=48.560541
  终端220: 经度=-55.605548, 纬度=-52.240027
  终端221: 经度=-36.150735, 纬度=35.604294
  终端222: 经度=-96.213318, 纬度=-12.034382
  终端223: 经度=35.048630, 纬度=-45.574055
  终端224: 经度=-158.648622, 纬度=3.309693
  终端225: 经度=131.240731, 纬度=28.481788
  终端226: 经度=61.216232, 纬度=5.318111
  终端227: 经度=-35.914673, 纬度=-54.383905
  终端228: 经度=-14.464822, 纬度=-56.305838
  终端229: 经度=-19.008858, 纬度=-6.983409
  终端230: 经度=-63.804574, 纬度=16.315062
  终端231: 经度=-157.673846, 纬度=32.440548
  终端232: 经度=177.316484, 纬度=24.190811
  终端233: 经度=-70.813692, 纬度=-42.488392
  终端234: 经度=106.407872, 纬度=21.821867
  终端235: 经度=113.833575, 纬度=53.011166
  终端236: 经度=-137.713472, 纬度=3.192802
  终端237: 经度=-100.848483, 纬度=-44.639172
  终端238: 经度=147.540889, 纬度=-12.589195
  终端239: 经度=68.542943, 纬度=7.937340
  终端240: 经度=52.064384, 纬度=-1.389310
  终端241: 经度=103.028245, 纬度=29.783771
  终端242: 经度=-77.225636, 纬度=-1.449535
  终端243: 经度=38.833681, 纬度=-47.872554
  终端244: 经度=-131.149263, 纬度=-21.647818
  终端245: 经度=124.648762, 纬度=-14.480840
  终端246: 经度=5.254320, 纬度=-23.662396
  终端247: 经度=146.809407, 纬度=19.218501
  终端248: 经度=41.575610, 纬度=14.711132
  终端249: 经度=55.360479, 纬度=44.746095
  终端250: 经度=28.606612, 纬度=-58.166350
  经纬度范围: 经度[-175.657794, 179.677335], 纬度[-59.780440, 59.052622]

--- 节点4 终端分组 ---
终端数量: 250
经纬度列表:
  终端1: 经度=2.806959, 纬度=39.876581
  终端2: 经度=-51.070553, 纬度=58.269362
  终端3: 经度=136.209830, 纬度=13.626503
  终端4: 经度=109.472701, 纬度=43.769241
  终端5: 经度=-10.022406, 纬度=-48.178786
  终端6: 经度=143.066309, 纬度=-27.909566
  终端7: 经度=145.737297, 纬度=21.605031
  终端8: 经度=-117.360360, 纬度=28.776376
  终端9: 经度=10.594287, 纬度=4.362106
  终端10: 经度=176.730012, 纬度=43.550937
  终端11: 经度=-142.502382, 纬度=39.688852
  终端12: 经度=-132.259418, 纬度=27.278706
  终端13: 经度=-32.665003, 纬度=44.761781
  终端14: 经度=-176.066996, 纬度=-9.602664
  终端15: 经度=59.149579, 纬度=19.758165
  终端16: 经度=116.095647, 纬度=48.595676
  终端17: 经度=14.074481, 纬度=37.170565
  终端18: 经度=-126.353724, 纬度=-33.615185
  终端19: 经度=-29.178893, 纬度=34.013632
  终端20: 经度=13.535819, 纬度=-10.520003
  终端21: 经度=-176.714554, 纬度=52.612888
  终端22: 经度=-20.672370, 纬度=52.237570
  终端23: 经度=54.300681, 纬度=10.015782
  终端24: 经度=35.724534, 纬度=12.698087
  终端25: 经度=-142.391406, 纬度=3.787364
  终端26: 经度=-33.067802, 纬度=-38.784507
  终端27: 经度=159.874501, 纬度=-1.797789
  终端28: 经度=-114.844497, 纬度=36.680555
  终端29: 经度=-50.774077, 纬度=-15.229554
  终端30: 经度=35.985697, 纬度=-49.022998
  终端31: 经度=167.312495, 纬度=-5.842180
  终端32: 经度=90.126995, 纬度=-2.722998
  终端33: 经度=143.983452, 纬度=21.442140
  终端34: 经度=170.861868, 纬度=-55.272327
  终端35: 经度=124.718247, 纬度=-55.916061
  终端36: 经度=43.553497, 纬度=-4.201959
  终端37: 经度=148.494615, 纬度=-29.304456
  终端38: 经度=-170.062630, 纬度=17.615656
  终端39: 经度=90.229121, 纬度=53.830716
  终端40: 经度=66.236444, 纬度=-38.212226
  终端41: 经度=-132.378804, 纬度=53.651137
  终端42: 经度=-40.640414, 纬度=0.258547
  终端43: 经度=79.694693, 纬度=25.485308
  终端44: 经度=-143.744913, 纬度=45.895880
  终端45: 经度=147.947321, 纬度=56.663379
  终端46: 经度=45.951127, 纬度=-12.982042
  终端47: 经度=-25.469483, 纬度=45.854706
  终端48: 经度=-90.052382, 纬度=-34.900143
  终端49: 经度=6.322563, 纬度=1.105576
  终端50: 经度=38.436829, 纬度=-9.805536
  终端51: 经度=23.678971, 纬度=-53.009404
  终端52: 经度=-49.955217, 纬度=31.691854
  终端53: 经度=-1.282955, 纬度=33.932330
  终端54: 经度=-54.150846, 纬度=26.959214
  终端55: 经度=13.459275, 纬度=-41.743762
  终端56: 经度=13.432738, 纬度=-41.071780
  终端57: 经度=149.238039, 纬度=-57.668096
  终端58: 经度=-116.470518, 纬度=-20.158441
  终端59: 经度=177.359002, 纬度=12.120662
  终端60: 经度=-30.193115, 纬度=28.125552
  终端61: 经度=-97.789859, 纬度=52.470114
  终端62: 经度=42.375066, 纬度=-8.146017
  终端63: 经度=-153.146222, 纬度=26.932791
  终端64: 经度=142.222121, 纬度=-33.189619
  终端65: 经度=163.352859, 纬度=29.845874
  终端66: 经度=74.931926, 纬度=5.676828
  终端67: 经度=167.712867, 纬度=7.843358
  终端68: 经度=-130.625023, 纬度=59.882227
  终端69: 经度=-79.329562, 纬度=-9.005571
  终端70: 经度=106.435125, 纬度=19.054390
  终端71: 经度=-42.247813, 纬度=36.807550
  终端72: 经度=-96.685681, 纬度=12.793979
  终端73: 经度=-10.462926, 纬度=-26.912446
  终端74: 经度=-72.251006, 纬度=-30.710506
  终端75: 经度=-148.861510, 纬度=-1.620249
  终端76: 经度=-17.712626, 纬度=-55.249982
  终端77: 经度=119.715461, 纬度=8.576379
  终端78: 经度=-28.521557, 纬度=47.516496
  终端79: 经度=117.526951, 纬度=-53.178344
  终端80: 经度=70.476885, 纬度=-53.279186
  终端81: 经度=-131.799826, 纬度=-8.646213
  终端82: 经度=-85.716609, 纬度=33.002825
  终端83: 经度=-58.965566, 纬度=-20.143646
  终端84: 经度=-21.705368, 纬度=7.317307
  终端85: 经度=-26.671043, 纬度=31.565199
  终端86: 经度=-157.547475, 纬度=49.297479
  终端87: 经度=-163.965088, 纬度=58.545643
  终端88: 经度=-125.446410, 纬度=-38.218288
  终端89: 经度=-87.184946, 纬度=-34.885206
  终端90: 经度=-149.799378, 纬度=23.567911
  终端91: 经度=-88.097677, 纬度=-45.811115
  终端92: 经度=172.535138, 纬度=-26.691805
  终端93: 经度=20.658364, 纬度=41.833579
  终端94: 经度=-91.098635, 纬度=33.525712
  终端95: 经度=-124.378859, 纬度=-38.629740
  终端96: 经度=-143.774389, 纬度=-29.360583
  终端97: 经度=108.295945, 纬度=-1.475594
  终端98: 经度=-43.457692, 纬度=-8.640037
  终端99: 经度=91.637919, 纬度=-54.951664
  终端100: 经度=135.901625, 纬度=22.260979
  终端101: 经度=121.518550, 纬度=57.186225
  终端102: 经度=-167.919157, 纬度=57.063544
  终端103: 经度=111.694801, 纬度=33.548002
  终端104: 经度=-101.166586, 纬度=-7.925476
  终端105: 经度=39.816843, 纬度=31.452663
  终端106: 经度=-147.204216, 纬度=-15.607209
  终端107: 经度=-26.446669, 纬度=44.004746
  终端108: 经度=-140.219978, 纬度=-43.308164
  终端109: 经度=-161.580974, 纬度=53.351942
  终端110: 经度=34.851916, 纬度=-25.960233
  终端111: 经度=121.864836, 纬度=34.057114
  终端112: 经度=155.682796, 纬度=-56.719522
  终端113: 经度=35.717413, 纬度=-42.162115
  终端114: 经度=-67.743441, 纬度=15.377618
  终端115: 经度=-81.028832, 纬度=38.617112
  终端116: 经度=-132.712095, 纬度=-50.693328
  终端117: 经度=102.945719, 纬度=-14.495231
  终端118: 经度=123.897724, 纬度=52.177690
  终端119: 经度=125.171206, 纬度=29.104102
  终端120: 经度=28.788448, 纬度=-36.137639
  终端121: 经度=-144.199254, 纬度=41.732895
  终端122: 经度=5.395615, 纬度=-57.269262
  终端123: 经度=112.601480, 纬度=44.080766
  终端124: 经度=37.389937, 纬度=35.253398
  终端125: 经度=-135.201495, 纬度=-26.025009
  终端126: 经度=-25.513262, 纬度=14.903234
  终端127: 经度=-93.966318, 纬度=-27.811276
  终端128: 经度=108.709403, 纬度=-1.012609
  终端129: 经度=169.218336, 纬度=-15.000757
  终端130: 经度=-21.766706, 纬度=-40.440295
  终端131: 经度=79.441242, 纬度=-21.970293
  终端132: 经度=122.609862, 纬度=50.438994
  终端133: 经度=82.238849, 纬度=48.088035
  终端134: 经度=-64.056107, 纬度=-20.433097
  终端135: 经度=54.222102, 纬度=46.047611
  终端136: 经度=-91.511088, 纬度=53.598526
  终端137: 经度=-55.752551, 纬度=-6.216173
  终端138: 经度=-166.346266, 纬度=38.676084
  终端139: 经度=-38.504230, 纬度=-3.294129
  终端140: 经度=-32.239500, 纬度=-54.536755
  终端141: 经度=40.967549, 纬度=-38.368507
  终端142: 经度=-160.808098, 纬度=31.787369
  终端143: 经度=-146.573649, 纬度=9.730892
  终端144: 经度=-128.843637, 纬度=26.662669
  终端145: 经度=-155.076563, 纬度=-47.154075
  终端146: 经度=-46.860248, 纬度=52.629646
  终端147: 经度=-179.976517, 纬度=39.391290
  终端148: 经度=-113.668501, 纬度=-39.232161
  终端149: 经度=98.315211, 纬度=-45.196970
  终端150: 经度=52.512438, 纬度=27.313464
  终端151: 经度=-35.837575, 纬度=-24.121567
  终端152: 经度=128.881819, 纬度=47.131514
  终端153: 经度=-43.844513, 纬度=22.172256
  终端154: 经度=-84.080202, 纬度=-45.510446
  终端155: 经度=-20.977178, 纬度=37.483374
  终端156: 经度=6.875687, 纬度=-2.953016
  终端157: 经度=-42.983903, 纬度=52.874557
  终端158: 经度=134.385686, 纬度=-47.191060
  终端159: 经度=137.670317, 纬度=-48.837253
  终端160: 经度=-32.373502, 纬度=-19.447781
  终端161: 经度=-21.160627, 纬度=10.078049
  终端162: 经度=97.547954, 纬度=32.238633
  终端163: 经度=13.396403, 纬度=-16.092115
  终端164: 经度=109.491515, 纬度=47.501227
  终端165: 经度=-18.084886, 纬度=15.204600
  终端166: 经度=-177.842722, 纬度=50.479708
  终端167: 经度=-86.419623, 纬度=-59.221336
  终端168: 经度=33.501697, 纬度=9.098939
  终端169: 经度=-150.201561, 纬度=1.842630
  终端170: 经度=-109.524647, 纬度=37.455234
  终端171: 经度=114.869770, 纬度=-0.673537
  终端172: 经度=-16.631042, 纬度=-21.534357
  终端173: 经度=-142.909454, 纬度=6.429876
  终端174: 经度=44.127274, 纬度=-52.444897
  终端175: 经度=56.190078, 纬度=-5.370897
  终端176: 经度=0.812018, 纬度=26.940152
  终端177: 经度=-56.474208, 纬度=-47.590496
  终端178: 经度=137.106513, 纬度=2.281076
  终端179: 经度=-137.826147, 纬度=28.620148
  终端180: 经度=-80.614359, 纬度=51.958150
  终端181: 经度=-71.277721, 纬度=45.582884
  终端182: 经度=35.189178, 纬度=15.671912
  终端183: 经度=108.520893, 纬度=36.704130
  终端184: 经度=-12.287751, 纬度=-36.235272
  终端185: 经度=60.048023, 纬度=1.600933
  终端186: 经度=-170.268315, 纬度=-14.979699
  终端187: 经度=-86.968383, 纬度=20.491030
  终端188: 经度=-175.846742, 纬度=2.287097
  终端189: 经度=114.727257, 纬度=16.906001
  终端190: 经度=-162.651530, 纬度=49.351957
  终端191: 经度=117.139182, 纬度=54.630544
  终端192: 经度=-94.830886, 纬度=-6.093849
  终端193: 经度=-104.175287, 纬度=-7.206924
  终端194: 经度=170.821493, 纬度=-25.958357
  终端195: 经度=-64.477555, 纬度=9.461416
  终端196: 经度=-95.344939, 纬度=-44.109069
  终端197: 经度=85.764397, 纬度=57.821033
  终端198: 经度=-105.286488, 纬度=-43.152079
  终端199: 经度=-24.598354, 纬度=-47.261002
  终端200: 经度=-96.661935, 纬度=53.244413
  终端201: 经度=23.955413, 纬度=-21.821602
  终端202: 经度=54.920505, 纬度=33.025630
  终端203: 经度=77.324512, 纬度=-53.822482
  终端204: 经度=179.626997, 纬度=32.064845
  终端205: 经度=60.689955, 纬度=35.557432
  终端206: 经度=49.367365, 纬度=-12.483970
  终端207: 经度=29.402219, 纬度=-33.649897
  终端208: 经度=-53.465025, 纬度=-14.005277
  终端209: 经度=-1.679566, 纬度=57.511619
  终端210: 经度=122.638650, 纬度=37.816285
  终端211: 经度=-51.871667, 纬度=9.980150
  终端212: 经度=-139.996503, 纬度=-54.541843
  终端213: 经度=-69.281879, 纬度=47.087836
  终端214: 经度=-78.398615, 纬度=33.532537
  终端215: 经度=111.832039, 纬度=45.121455
  终端216: 经度=-68.225621, 纬度=-59.464489
  终端217: 经度=115.870541, 纬度=-30.232996
  终端218: 经度=32.365261, 纬度=48.951787
  终端219: 经度=-163.148084, 纬度=-36.052078
  终端220: 经度=-20.335762, 纬度=-34.091400
  终端221: 经度=55.954556, 纬度=43.901008
  终端222: 经度=-44.624853, 纬度=-57.787147
  终端223: 经度=-68.580987, 纬度=1.555309
  终端224: 经度=45.442135, 纬度=58.929136
  终端225: 经度=-138.670431, 纬度=27.268126
  终端226: 经度=15.176264, 纬度=-37.633670
  终端227: 经度=139.659720, 纬度=-7.737615
  终端228: 经度=-51.303871, 纬度=41.382976
  终端229: 经度=36.655305, 纬度=54.486484
  终端230: 经度=110.485789, 纬度=-51.144651
  终端231: 经度=27.057695, 纬度=-5.586230
  终端232: 经度=-67.841172, 纬度=-32.453662
  终端233: 经度=0.148582, 纬度=49.627910
  终端234: 经度=-29.443639, 纬度=-23.746649
  终端235: 经度=47.436336, 纬度=-42.318351
  终端236: 经度=-37.978796, 纬度=7.569808
  终端237: 经度=85.447363, 纬度=-2.941441
  终端238: 经度=-39.135609, 纬度=18.091059
  终端239: 经度=106.053436, 纬度=-28.247376
  终端240: 经度=-49.571280, 纬度=-31.262108
  终端241: 经度=163.413815, 纬度=58.748980
  终端242: 经度=128.083980, 纬度=57.449974
  终端243: 经度=-9.150448, 纬度=-10.297750
  终端244: 经度=103.652707, 纬度=2.576625
  终端245: 经度=-126.808562, 纬度=-51.525416
  终端246: 经度=7.664547, 纬度=38.844837
  终端247: 经度=-165.058254, 纬度=0.646207
  终端248: 经度=-136.341995, 纬度=20.366452
  终端249: 经度=-24.800276, 纬度=52.485617
  终端250: 经度=-24.039395, 纬度=-48.655447
  经纬度范围: 经度[-179.976517, 179.626997], 纬度[-59.464489, 59.882227]

--- 节点5 终端分组 ---
终端数量: 250
经纬度列表:
  终端1: 经度=59.076503, 纬度=-9.913571
  终端2: 经度=27.160919, 纬度=-34.445728
  终端3: 经度=-39.052046, 纬度=37.957200
  终端4: 经度=143.614464, 纬度=22.863281
  终端5: 经度=177.917836, 纬度=13.392699
  终端6: 经度=-65.530411, 纬度=52.980095
  终端7: 经度=13.901962, 纬度=-59.924365
  终端8: 经度=145.250074, 纬度=-38.133256
  终端9: 经度=-122.757044, 纬度=-27.655016
  终端10: 经度=-58.151163, 纬度=31.326353
  终端11: 经度=-167.290460, 纬度=-6.819282
  终端12: 经度=-87.793693, 纬度=-21.510218
  终端13: 经度=-178.248355, 纬度=7.838712
  终端14: 经度=14.059246, 纬度=-39.514114
  终端15: 经度=-59.730996, 纬度=41.032144
  终端16: 经度=-164.977527, 纬度=-49.034141
  终端17: 经度=-164.924047, 纬度=-41.941022
  终端18: 经度=161.083145, 纬度=46.630680
  终端19: 经度=-175.959861, 纬度=-59.298451
  终端20: 经度=2.505989, 纬度=-30.972648
  终端21: 经度=168.385055, 纬度=48.553492
  终端22: 经度=-170.042690, 纬度=-41.744294
  终端23: 经度=112.942487, 纬度=8.012311
  终端24: 经度=4.501441, 纬度=-6.817522
  终端25: 经度=147.831567, 纬度=-18.585726
  终端26: 经度=-26.823132, 纬度=-8.943333
  终端27: 经度=16.194464, 纬度=6.016479
  终端28: 经度=-144.782030, 纬度=43.098114
  终端29: 经度=-85.843273, 纬度=-32.496115
  终端30: 经度=-171.815340, 纬度=-32.877230
  终端31: 经度=-5.982070, 纬度=37.823499
  终端32: 经度=-4.831153, 纬度=51.225745
  终端33: 经度=128.241481, 纬度=-54.501278
  终端34: 经度=-123.408703, 纬度=-38.802683
  终端35: 经度=103.531172, 纬度=32.820183
  终端36: 经度=-63.811283, 纬度=27.985340
  终端37: 经度=160.583979, 纬度=-55.358187
  终端38: 经度=105.256864, 纬度=11.525490
  终端39: 经度=81.125973, 纬度=55.023624
  终端40: 经度=151.886439, 纬度=36.617815
  终端41: 经度=-158.262354, 纬度=-6.379765
  终端42: 经度=83.518319, 纬度=48.880533
  终端43: 经度=-125.008476, 纬度=-59.408819
  终端44: 经度=-50.158800, 纬度=23.902905
  终端45: 经度=-163.071930, 纬度=26.599365
  终端46: 经度=-106.850377, 纬度=58.326885
  终端47: 经度=-99.063578, 纬度=41.905153
  终端48: 经度=125.861105, 纬度=-15.822546
